"","resp_id_2016","resp_id_2020","age","gender","race_6","educ_8","educ_5","pid_7","ideo_7","region_4","state","marital_stat","income_family","immigrants_change6","environment_regulation7","defense_spending7","religion_imporatnce5","traditional_values5","protect_homosexuals","abortion_allowed4","death_penalty4","gun_control3","gun_control_importance5","trust_ppl5","understanding_poli_issue5","vote_2020","age_group","educ_4","race_4","pid_3"
"1",401318,200015,46,1,3,6,4,7,6,3,"OK",4,21,4,7,7,2,1,1,2,1,3,1,3,1,2,4,4,3,3
"2",300261,200022,37,2,4,3,3,4,4,4,"ID",1,13,3,NA,4,5,4,1,4,1,3,3,4,3,NA,3,3,4,2
"3",400181,200039,40,2,1,2,2,3,2,3,"VA",1,17,1,1,1,3,5,1,4,4,1,2,4,2,1,3,2,1,1
"4",300171,200046,41,1,4,4,3,6,3,4,"CA",1,7,3,1,4,1,2,1,1,1,3,2,2,2,1,3,3,4,3
"5",405145,200053,72,1,5,8,5,4,5,4,"CO",3,22,5,4,4,4,2,2,3,2,3,2,4,2,2,6,4,4,2
"6",400374,200060,71,2,1,3,3,3,4,3,"TX",4,3,3,NA,NA,3,3,1,4,2,1,3,2,4,1,6,3,1,1
"7",407013,200084,37,2,1,4,3,6,4,2,"WI",1,4,4,5,7,5,1,1,3,1,1,2,4,3,2,3,3,1,3
"8",407174,200091,45,2,1,2,2,6,NA,3,"MS",1,3,5,NA,7,5,1,1,4,1,1,4,1,5,2,4,2,1,3
"9",406264,200107,70,2,1,2,2,4,NA,4,"AZ",1,10,5,NA,NA,4,3,1,4,1,1,2,3,4,NA,6,2,1,2
"10",402782,200114,43,1,3,4,3,2,NA,4,"CA",5,11,2,NA,4,4,3,1,4,4,2,2,2,3,NA,3,3,3,1
"11",403343,200121,37,2,3,2,2,1,NA,3,"MD",1,9,4,1,7,1,2,2,1,3,1,1,4,4,1,3,2,3,1
"12",300209,200138,55,1,1,2,2,2,4,2,"WI",1,18,4,1,NA,2,2,1,2,1,1,2,3,5,1,5,2,1,1
"13",406776,200152,30,2,1,2,2,7,6,4,"OR",6,1,5,4,3,4,3,2,4,1,1,3,4,3,2,2,2,1,3
"14",401642,200169,38,1,4,7,5,2,3,3,"VA",1,21,1,1,4,3,2,1,4,3,1,2,3,2,NA,3,4,4,1
"15",402420,200176,41,2,2,3,3,3,4,3,"NC",4,3,3,NA,4,1,2,2,4,3,1,2,4,3,1,3,3,2,1
"16",301144,200183,66,1,3,3,3,5,6,4,"ID",1,7,5,NA,6,3,3,1,3,2,2,1,4,3,2,6,3,3,3
"17",300234,200190,54,1,1,6,4,3,3,1,"MA",1,22,3,3,4,5,2,1,4,2,3,3,2,3,1,4,4,1,1
"18",301799,200206,55,1,1,6,4,1,3,1,"NH",1,20,2,3,2,3,1,1,4,2,1,1,2,2,NA,5,4,1,1
"19",400938,200220,62,2,1,6,4,1,2,4,"NV",1,NA,2,4,3,1,4,1,4,3,1,1,3,2,1,5,4,1,1
